classifier,params,Train/Test Split ID,Precision,Recall,Accuracy,AUC_ROC Score
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 100}",1,0.3142076502732241,0.053342266659794885,0.6868576460050705,0.5023640833169853
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 100}",2,0.2716161158895428,0.04770992366412214,0.6924800796812749,0.4983961010725674
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 10}",0,0.2768762677484787,0.049088359046283316,0.6956385028907597,0.4993615791812517
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 10}",1,0.29811778992106863,0.05061073029943823,0.6852484401329872,0.5004280302095453
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 10}",2,0.28021729289271163,0.04922073791348599,0.693340275262586,0.4994521411086417
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 50}",0,0.2744421906693712,0.048656813032689615,0.6953950704939649,0.49906104005829705
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 50}",1,0.2868852459016393,0.04870380868937793,0.6841250322600234,0.4990764459647285
RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 50}",2,0.2784065187867813,0.048902671755725186,0.6931591814559942,0.4992298168905209
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 100}",0,0.28640973630831645,0.050778580932858634,0.6965919464448727,0.5005386907461575
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 100}",1,0.3017607771706132,0.05122919136216049,0.6856127886323268,0.5008663818565129
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 100}",2,0.2702580353100951,0.047471374045801526,0.692344259326331,0.4982293579089767
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 10}",0,0.2841784989858012,0.05038299708706441,0.6963688000811441,0.5002631965501156
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 10}",1,0.29933211900425016,0.05081688398701232,0.6853698896327671,0.5005741474252011
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 10}",2,0.2720688094160253,0.047789440203562336,0.6925253531329228,0.4984516821270976
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 50}",0,0.2870182555780933,0.050886467436257056,0.6966528045440714,0.5006138255268962
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 50}",1,0.2959927140255009,0.050249961346183585,0.6850359035083724,0.5001723250821475
RandomForest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 50}",2,0.2761430511543685,0.048505089058524166,0.6929328141977544,0.4989519116178697
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",0,0.2787018255578093,0.04941201855647859,0.6958210771883558,0.4995869835234677
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",1,0.2935640558591378,0.049837653971035414,0.6847930045088126,0.4998800906508358
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",2,0.2892711634223631,0.05081106870229008,0.6942457442955451,0.5005637621992463
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",0,0.28032454361054765,0.04969971589887438,0.6959833654528856,0.4997873429387708
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",1,0.3026715239829994,0.051383806627841054,0.6857038757571617,0.5009759697682548
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",2,0.29244001810774106,0.0513676844783715,0.6945626584570808,0.5009528295809579
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",0,0.2823529411764706,0.05005933757686913,0.6961862257835479,0.5000377922078998
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",1,0.31208257437765635,0.05298149770654023,0.6866451093804558,0.5021083781895875
RandomForest,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",2,0.2897238569488456,0.050890585241730284,0.6942910177471929,0.5006193432537765
SVM,{'C': 0.1},0,0.29026369168357,0.051461862121048654,0.6969773810731311,0.5010145443575025
SVM,{'C': 0.1},1,0.2996357012750455,0.050868422408905836,0.6854002520077119,0.5006106767291151
SVM,{'C': 0.1},2,0.28519692168401994,0.05009541984732824,0.6938382832307135,0.5000635327084743
SVM,{'C': 100},0,0.2878296146044625,0.05103031610745496,0.6967339486763363,0.5007140052345478
SVM,{'C': 100},1,0.3005464480874317,0.0510230376745864,0.6854913391325469,0.5007202646408571
SVM,{'C': 100},2,0.28655500226346764,0.05033396946564885,0.6939741035856574,0.5002302758720649
SVM,{'C': 10},0,0.2793103448275862,0.04951990505987701,0.6958819352875545,0.4996621183042063
SVM,{'C': 10},1,0.2941712204007286,0.04994073081482245,0.6848537292587026,0.4999531492586637
SVM,{'C': 10},2,0.2729741964689905,0.04794847328244275,0.6926159000362188,0.4985628442361581
SVM,{'C': 1},0,0.2847870182555781,0.05049088359046283,0.6964296581803429,0.5003383313308544
SVM,{'C': 1},1,0.286581663630844,0.048652270267484414,0.6840946698850784,0.4990399166608146
SVM,{'C': 1},2,0.28655500226346764,0.05033396946564885,0.6939741035856574,0.5002302758720649
